score,rank,ethnicity,gender,language,age,cls_perc_eval,cls_did_eval,cls_students,cls_level,bty_avg
5,teaching,not minority,male,english,58,100,21,21,lower,7.833
5,teaching,not minority,male,english,58,85.71429,18,21,lower,7.833
4.9,teaching,not minority,male,english,58,85,17,20,lower,7.833
4.6,teaching,not minority,male,english,58,95,19,20,lower,7.833
5,teaching,not minority,male,english,58,84.61539,11,13,lower,7.833
4.8,teaching,not minority,male,english,58,87.5,14,16,lower,7.833
4.9,teaching,not minority,male,english,58,94.11765,16,17,lower,7.833
4.9,tenured,not minority,male,english,42,83.33334,15,18,lower,7.833
3.9,tenured,not minority,male,english,42,91.66666,22,24,lower,7.833
3.9,tenured,not minority,male,english,42,85,17,20,upper,7.833
4.5,tenure track,not minority,male,english,33,70.83334,85,120,lower,5.833
4.5,tenure track,not minority,male,english,33,43.22581,67,155,lower,5.833
3.3,tenured,not minority,male,english,62,28.94737,11,38,lower,2
3.1,tenured,not minority,male,english,62,40,28,70,lower,2
2.8,tenured,not minority,male,english,62,40.9396,61,149,lower,2
3.1,tenured,not minority,male,english,62,35.76642,49,137,lower,2
4.2,tenured,not minority,male,english,62,44.82759,13,29,upper,2
3.4,tenured,not minority,male,english,62,50.90909,28,55,lower,2
3,tenured,not minority,male,english,62,49.26471,67,136,lower,2
3.3,tenure track,minority,female,english,35,62.5,60,96,lower,7.833
3.6,tenure track,minority,female,english,35,33.33333,20,60,lower,7.833
3.7,tenure track,minority,female,english,35,39.81482,43,108,lower,7.833
3.6,tenured,not minority,male,english,61,69.23077,27,39,lower,3.333
4.3,tenured,not minority,male,english,61,86.66666,13,15,lower,3.333
4.1,tenured,not minority,female,english,52,54.95496,61,111,lower,4.5
4.9,tenured,not minority,female,english,52,82.35294,14,17,lower,4.5
4.8,tenured,not minority,female,english,52,100,19,19,lower,4.5
3.7,tenure track,not minority,female,non-english,60,85.18519,23,27,upper,4.333
3.9,tenure track,not minority,female,non-english,60,94.73684,18,19,upper,4.333
4.5,tenure track,not minority,female,non-english,60,84.61539,11,13,upper,4.333
3.6,tenure track,not minority,female,non-english,60,94.73684,18,19,upper,4.333
4.4,tenure track,not minority,female,non-english,60,50,11,22,upper,4.333
3.4,tenure track,not minority,female,non-english,60,35,7,20,upper,4.333
4.4,tenure track,not minority,female,non-english,60,88.88889,24,27,upper,4.333
4.5,tenure track,not minority,male,english,32,74.24242,98,132,lower,6.833
4.5,tenure track,not minority,male,english,32,87.40157,111,127,lower,6.833
4.5,tenure track,not minority,male,english,32,72.94118,62,85,upper,6.833
4.6,tenure track,not minority,male,english,32,75.24753,76,101,lower,6.833
4.1,tenure track,not minority,male,english,32,42.85714,9,21,lower,6.833
4.5,tenure track,not minority,male,english,32,60.46511,52,86,upper,6.833
3.5,tenure track,minority,female,non-english,42,57.14286,48,84,upper,5.333
4.4,tenure track,minority,female,non-english,42,77.61194,52,67,upper,5.333
4.4,tenure track,minority,female,non-english,42,81.81818,54,66,upper,5.333
4.1,tenure track,minority,female,non-english,42,80,28,35,lower,5.333
